artists,artists_id
"['Yves Tumor', 'Croatian Amor']","['spotify:artist:0qu422H5MOoQxGjd4IzHbS', 'spotify:artist:67QjO1hSxmYnra5p51qjig']"
Julia Holter,spotify:artist:0bsV0sUjnCuCTYOnNHQl3E
"['Dean Blunt', 'Inga Copeland']","['spotify:artist:5CFSYjc0PAiQvndFjafabk', 'spotify:artist:1ZdoULgEhBXOV2g3j3Zhhi']"
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Yaeji,spotify:artist:2RqrWplViWHSGLzlhmDcbt
"['Dean Blunt', 'Inga Copeland']","['spotify:artist:5CFSYjc0PAiQvndFjafabk', 'spotify:artist:1ZdoULgEhBXOV2g3j3Zhhi']"
"['Dean Blunt', 'Inga Copeland']","['spotify:artist:5CFSYjc0PAiQvndFjafabk', 'spotify:artist:1ZdoULgEhBXOV2g3j3Zhhi']"
"['Babyfather', 'Micachu']","['spotify:artist:3DmDJOQgrwlq8MxXGLeFvA', 'spotify:artist:50Dd971ruHE4jP4gI7l1Qa']"
"['Babyfather', 'Arca']","['spotify:artist:3DmDJOQgrwlq8MxXGLeFvA', 'spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj']"
Babyfather,spotify:artist:3DmDJOQgrwlq8MxXGLeFvA
Eartheater,spotify:artist:18ca9d5EU5R1AhVKPR1cm0
Eartheater,spotify:artist:18ca9d5EU5R1AhVKPR1cm0
Ana Roxanne,spotify:artist:2fSBHYgZUSIQPolv5skG5I
Smerz,spotify:artist:1f8PlfSHEW6fHnILSzm8dI
Cindy Lee,spotify:artist:0TZExq5Dma8hecEIAKwQYA
Kelly Moran,spotify:artist:1SFqXNEGetmMW6VPZseNqy
Ana Roxanne,spotify:artist:2fSBHYgZUSIQPolv5skG5I
Jenny Hval,spotify:artist:5eerVxtb9lY9p6D7m89Bs7
Ana Roxanne,spotify:artist:2fSBHYgZUSIQPolv5skG5I
Fennesz,spotify:artist:2DoQBgPsB9AdmWpIa2hUSz
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
"['Alex Epton', 'Lucinda Chua', 'Eartheater']","['spotify:artist:6LcgIhsufGFdJS3XAB1aXc', 'spotify:artist:3PaJIkKZtfopcZxWluQhzJ', 'spotify:artist:18ca9d5EU5R1AhVKPR1cm0']"
Chastity Belt,spotify:artist:1tho5dJnzdYD57EQkM3SmK
Mothers,spotify:artist:0aeq6izGKdpdcBUkXGCHXv
Gem Club,spotify:artist:7mfGqyAztYr0FI5gK5OCNp
Chihei Hatakeyama,spotify:artist:4G1ZsxfEEztbE1VcnNInPg
Weatherday,spotify:artist:6pmR08TKSTs8rll6W99VnK
"['Meg Baird', 'Mary Lattimore']","['spotify:artist:4NkfNPTsDtbPntbU1pBYVt', 'spotify:artist:38MKhZmMRHAZRz8LqtKIBw']"
Slauson Malone,spotify:artist:6mWYIx4qV7et94cpRRU77N
Malibu,spotify:artist:3gfV2LBMvIE9gjpvowt11B
"['Open Mike Eagle', 'Kari Faux']","['spotify:artist:5CuU6SRJjbbZL926nSGGxX', 'spotify:artist:4c2ighP1wj8E5dVGJDCOiB']"
Helen,spotify:artist:52xprCZw3i5T0Ll5wEILNF
Babyfather,spotify:artist:3DmDJOQgrwlq8MxXGLeFvA
Jay Som,spotify:artist:1wmiQ6ytATiGnJs6uFluKO
Mariah,spotify:artist:0yMkwfeRG8lviQY0mZ1BBI
Aphex Twin,spotify:artist:6kBDZFXuLrZgHnvmPu9NsG
Aphex Twin,spotify:artist:6kBDZFXuLrZgHnvmPu9NsG
Susumu Yokota,spotify:artist:3ND5NWoKzlelYDDyWqSQpQ
William Basinski,spotify:artist:6u5axd0rpDsWSmzhFfb2VB
Underworld,spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa
Anna von Hausswolff,spotify:artist:1eiXrvua27VlWgZ9kiaIn6
Thom Yorke,spotify:artist:4CvTDPKA6W06DRfBnZKrau
To Rococo Rot,spotify:artist:0DRlmNJq133uYhzXxJfF3a
Julianna Barwick,spotify:artist:0HWfFWL4vVrbaBQqxVCwCi
Malibu,spotify:artist:3gfV2LBMvIE9gjpvowt11B
Emily A. Sprague,spotify:artist:3GeWutjuNRg9uRqiIejRT9
tamanaramen,spotify:artist:06rauF4YCx0U1NALbqdlE3
Burial,spotify:artist:0uCCBpmg6MrPb1KY2msceF
Burial,spotify:artist:0uCCBpmg6MrPb1KY2msceF
Anenon,spotify:artist:1nDzzoDVAeT9c5PkreI1yI
Nicolas Jaar,spotify:artist:5a0etAzO5V26gvlbmHzT9W
Nicolas Jaar,spotify:artist:5a0etAzO5V26gvlbmHzT9W
DjRUM,spotify:artist:4HwlolvniI44ETSg5tajeZ
"['Hvide Sejl', 'Varg²™', 'F. Valentin']","['spotify:artist:6BH66jylSjY2S7UtOsOB56', 'spotify:artist:4g2EfgpanE2Z9LG1nQ9zNy', 'spotify:artist:3ptxvhv1kqWKAi8OxaVqAY']"
"['Soho Rezanejad', 'Frederik Valentin']","['spotify:artist:5gEoe0kGMZJytho1bf9PfE', 'spotify:artist:5xmip7jwRD4w1n5z7J0m5Y']"
Mid-Air Thief,spotify:artist:0zGRuj0aQ3mM6i2dQoO8h0
Alexia Avina,spotify:artist:08SD2vwQpHuHq8IiTM180I
Mark Kozelek & Jimmy LaValle,spotify:artist:588r6qyrSUITUnpkKB0Dev
Against All Logic,spotify:artist:0ngUeF0DGpYmPec80MqSi1
"['Against All Logic', 'Lydia Lunch']","['spotify:artist:0ngUeF0DGpYmPec80MqSi1', 'spotify:artist:3aSkzI3DQrdPtYXizXnwda']"
Against All Logic,spotify:artist:0ngUeF0DGpYmPec80MqSi1
Lightning Bolt,spotify:artist:2og3FOCLYXT9H7IYE6QPUq
Big Thief,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ
Adrianne Lenker,spotify:artist:4aKWmkWAKviFlyvHYPTNQY
Adrianne Lenker,spotify:artist:4aKWmkWAKviFlyvHYPTNQY
Adrianne Lenker,spotify:artist:4aKWmkWAKviFlyvHYPTNQY
Adrianne Lenker,spotify:artist:4aKWmkWAKviFlyvHYPTNQY
"['Against All Logic', 'Lydia Lunch']","['spotify:artist:0ngUeF0DGpYmPec80MqSi1', 'spotify:artist:3aSkzI3DQrdPtYXizXnwda']"
slowthai,spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP
Adrianne Lenker,spotify:artist:4aKWmkWAKviFlyvHYPTNQY
Lightning Bolt,spotify:artist:2og3FOCLYXT9H7IYE6QPUq
Cate le Bon,spotify:artist:0LZac5VicY19QLaIUvIB0G
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Spellling,spotify:artist:7rlAAAiWScpsT1hmgURAmh
Kedr Livanskiy,spotify:artist:7deuX0YejjlcB4uLcdgEDW
Eola,spotify:artist:23OQeyM19S2xgBiTyz3eog
Steven Wilson,spotify:artist:4X42BfuhWCAZ2swiVze9O0
Mid-Air Thief,spotify:artist:0zGRuj0aQ3mM6i2dQoO8h0
Thom Yorke,spotify:artist:4CvTDPKA6W06DRfBnZKrau
Elysia Crampton,spotify:artist:75v4Rn3SqXn6dmq2PFrRgN
FKA twigs,spotify:artist:6nB0iY1cjSY1KyhYyuIIKH
ABRA,spotify:artist:3ZJxEmjYZd5VOqZ8o3aXiL
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
The Body,spotify:artist:1VFYpTpgmp7ANXqok2dTg3
Lingua Ignota,spotify:artist:3Q2RrKEOBdkWI2MJQgdt84
death's dynamic shroud,spotify:artist:1F31FB7Y6ic4844PbqMf7c
Ninos Du Brasil,spotify:artist:2ALx5yXpSTe5aPEF2vLeGa
Grouper,spotify:artist:31uyAcnY0kjjKKIQZMKX4i
Björk,spotify:artist:7w29UYBi0qsHi5RTcv3lmA
Stereolab,spotify:artist:3Rj0tDHoX7C5NFq5DKIpHt
