uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:0ZTLlGCJPlvVwUQKNqaU31,0.344,0.56,6,-8.888,0,0.0426,0.00792,0.225,0.164,0.11,78.875
spotify:track:4JHD4Ce3WWAzbcRApwpZBt,0.449,0.367,11,-9.66,1,0.0476,0.75,0.000238,0.106,0.175,107.724
spotify:track:5jeQf8gibTkyNoNbtrHebd,0.722,0.7,7,-5.417,1,0.0296,0.0149,0.822,0.128,0.469,108.245
spotify:track:35VfLKymw2iZKWnLTvm8Xv,0.21,0.082,9,-22.605,0,0.0425,0.994,0.614,0.278,0.164,75.043
spotify:track:1OStEtFJJ7xMbgQfp5C3j9,0.606,0.448,8,-13.182,0,0.0356,0.604,0.0825,0.111,0.199,111.889
spotify:track:3D3lFL1x5dLuFVVSNcenVI,0.329,0.159,0,-18.634,1,0.0308,0.909,0.847,0.174,0.202,91.842
spotify:track:0mgEmRImUh3eavQfOizNYx,0.635,0.465,9,-12.973,1,0.0243,0.906,0.494,0.107,0.853,94.235
spotify:track:600tA1gbf9oKO29goLQbfe,0.797,0.383,8,-17.486,1,0.0581,0.0204,0.0505,0.0633,0.647,130.627
spotify:track:4G2wDx4EztZCPNz4sVHOFF,0.691,0.507,11,-10.969,1,0.105,0.0905,0.647,0.127,0.431,132.913
spotify:track:6idIUL2E6rk9LlQAvg3eqM,0.349,0.798,7,-2.373,1,0.0547,0.002,2.49e-05,0.34,0.52,136.1
spotify:track:5gKsCUUeO3wmx2FKqI2rt7,0.167,0.122,0,-18.816,1,0.0774,0.583,0.977,0.0949,0.0385,124.212
spotify:track:6Q3ZjWvNbybtRLZNZx3ltJ,0.504,0.652,1,-7.884,1,0.0522,0.00464,0.0115,0.126,0.153,153.025
spotify:track:3trptNSVKUejHbWwvYoq0Q,0.183,0.135,0,-17.968,1,0.0407,0.933,0.945,0.115,0.0399,126.901
spotify:track:6X5BpzF5MpGY0EXBi9Ni7m,0.641,0.448,9,-9.692,1,0.193,0.525,0.855,0.158,0.463,170.064
spotify:track:1438FzaDW0V4T9jys3eRwX,0.19,0.129,7,-17.37,0,0.0373,0.935,0.857,0.112,0.103,62.675
spotify:track:6PN8bVP6kjAW6UwqileVWR,0.258,0.403,8,-13.751,1,0.037,0.837,0.945,0.0852,0.0395,99.589
spotify:track:6VI6LnXQSm7NI7ptuQ7Dl4,0.627,0.321,10,-18.837,0,0.0521,0.813,0.914,0.116,0.784,169.046
spotify:track:5MZQmUlYE5kc5Vv7QIKYmR,0.418,0.451,0,-10.301,1,0.0287,0.411,0.00231,0.147,0.0928,99.859
spotify:track:75mMC2cnD58FHOrMGmxf6i,0.0632,0.0606,0,-21.935,0,0.0419,0.97,0.95,0.121,0.0438,63.523
spotify:track:2iHvSdltCRLlCVYAjRxLNj,0.171,0.185,11,-14.034,1,0.0334,0.405,0.906,0.118,0.0364,114.339
spotify:track:4qm8sWdYoXkdhMN8EL9mAL,0.198,0.0407,2,-25.638,1,0.0385,0.911,0.977,0.319,0.034,107.426
spotify:track:2KQkhr5XYTQkSi8UxYM6JJ,0.127,0.32,11,-12.713,0,0.0317,0.803,0.934,0.132,0.0504,95.587
spotify:track:6wZDaDFXoCYeV7aMLOH0Uz,0.58,0.722,11,-7.073,1,0.0311,0.742,0.175,0.196,0.316,120.859
spotify:track:14qg0bStIzSQVy74nNyuGk,0.275,0.946,4,-5.561,0,0.123,0.00364,0.874,0.108,0.223,173.525
spotify:track:5B4chrLWhupcxEqOQu0aqg,0.117,0.221,0,-13.89,1,0.0343,0.979,0.82,0.11,0.0383,185.711
spotify:track:6sJlchLIX2krydtTBxsXUU,0.153,0.0145,5,-28.89,1,0.0435,0.995,0.978,0.0806,0.0335,138.658
spotify:track:2vLUk3fQD4Bsaii1db5O3j,0.342,0.632,0,-6.661,1,0.0289,0.554,0.817,0.122,0.168,144.485
